,,,,shapiro_stat,shapiro_pval,kstest_stat,kstest_pval
EVC,exemestane,50.0,72,0.8440102338790894,0.06398983299732208,0.7575724675933329,6.990322334823453e-06
EVC,exemestane,25.0,72,0.8700542449951172,0.12311869114637375,0.7969062196118977,1.2492152114214815e-06
EVC,exemestane,12.5,72,0.957128643989563,0.7678414583206177,0.8157593443239978,5.012253524557868e-07
PGRMC1,tamoxifen,200.0,24,0.7281839847564697,0.003024567849934101,0.5305743117807639,0.0068549422556594365
PGRMC1,tamoxifen,100.0,24,0.8066812753677368,0.02433609962463379,0.5739733520169881,0.0024548641016494247
PGRMC1,tamoxifen,50.0,24,0.7933320999145508,0.017132924869656563,0.7260615476570685,2.3880838291009608e-05
PGRMC1,tamoxifen,25.0,24,0.7574126720428467,0.006607308052480221,0.7710694110061821,3.9696853558041695e-06
PGRMC1,tamoxifen,12.5,24,0.9318167567253113,0.4988354444503784,0.7913089139603184,1.6187232277945946e-06
PGRMC1,tamoxifen,200.0,48,0.692764163017273,0.0011682690819725394,0.530901863502148,0.006804887600408433
PGRMC1,tamoxifen,100.0,48,0.8399012088775635,0.05760864168405533,0.531056318627611,0.00678139702893662
PGRMC1,tamoxifen,50.0,48,0.701953113079071,0.0014957741368561983,0.5782943514398103,0.0022025149140637826
PGRMC1,tamoxifen,25.0,48,0.875094473361969,0.13934700191020966,0.7404008874082412,1.386418233720902e-05
PGRMC1,tamoxifen,12.5,48,0.7436177730560303,0.00457173865288496,0.796790126837928,1.2560122645395807e-06
PGRMC1,tamoxifen,200.0,72,0.7031517028808594,0.0015447513433173299,0.5221601159000387,0.008257660999284098
PGRMC1,tamoxifen,100.0,72,0.6975126266479492,0.0013274364173412323,0.5241163299422592,0.007910678191322388
PGRMC1,tamoxifen,50.0,72,0.829998254776001,0.044652920216321945,0.5328029315619992,0.006520710632004971
PGRMC1,tamoxifen,25.0,72,0.804314911365509,0.022871818393468857,0.5791601145862072,0.0021548690870806103
PGRMC1,tamoxifen,12.5,72,0.7943915128707886,0.017618130892515182,0.7515870199366639,8.913548128561106e-06
EVC,tamoxifen,200.0,24,0.733022928237915,0.003443219931796193,0.5485130499302695,0.004546156661717787
EVC,tamoxifen,100.0,24,0.7695323824882507,0.00912298634648323,0.5716989827955957,0.0025979204987312677
EVC,tamoxifen,50.0,24,0.9229437708854675,0.41716861724853516,0.7473711714572928,1.0547994056945212e-05
EVC,tamoxifen,25.0,24,0.8899513483047485,0.19929838180541992,0.7879145370494197,1.889577389714134e-06
EVC,tamoxifen,12.5,24,0.8975869417190552,0.23834392428398132,0.7761180875260761,3.191592426502928e-06
EVC,tamoxifen,200.0,48,0.9070853590965271,0.2960052490234375,0.5323972231111198,0.006580459529926869
EVC,tamoxifen,100.0,48,0.8754780292510986,0.14065991342067719,0.5382851192156521,0.005759127193746171
EVC,tamoxifen,50.0,48,0.9198834300041199,0.3912760615348816,0.6932528920998798,7.627499763738268e-05
EVC,tamoxifen,25.0,48,0.742665708065033,0.004456834401935339,0.728264475134735,2.2001244973780094e-05
EVC,tamoxifen,12.5,48,0.96748286485672,0.8723862767219543,0.7689358511916657,4.348384305620704e-06
EVC,tamoxifen,200.0,72,0.9051118493080139,0.2831452786922455,0.5231581300767126,0.008078992210264552
EVC,tamoxifen,100.0,72,0.7744337320327759,0.010391376912593842,0.5237780575530074,0.007969740185506462
EVC,tamoxifen,50.0,72,0.808448314666748,0.02548905648291111,0.5453514880478386,0.004894251848030031
EVC,tamoxifen,25.0,72,0.8436095118522644,0.0633387416601181,0.7313000919006503,1.9633295221560458e-05
EVC,tamoxifen,12.5,72,0.8883787393569946,0.19200000166893005,0.7285214504557525,2.1791073122845956e-05
