geneName,Pval,Pearson
MTA1,8.337725084459588e-21,0.814025103361571
MTDH,6.642486192017383e-24,0.8466788405469574
MVD,8.888308627293118e-20,0.8015410237977469
MYBBP1A,5.5769683838745166e-21,0.8160577783952067
MYH9,2.2225168534318022e-24,0.8511064852330043
MYO18A,9.031083004907645e-22,0.8249554333891802
MYO9A,6.290351016595745e-24,0.846902482527047
MYO9B,1.630796465856563e-29,0.8910295716162286
NAB1,7.820409381402098e-22,0.8256382263686592
NCALD,3.791590128445909e-21,0.8179848509968989
NCKIPSD,7.958082043656971e-26,0.8637393948942348
NCOA1,6.42429199447557e-26,0.8645110323929436
NCOA2,4.530352965958312e-23,0.8385631208227531
NDRG3,2.5556544726418933e-21,0.819931728518921
NOL8,2.526817921181919e-21,0.8199873884466853
NRBP1,2.6313956766924808e-23,0.8409064072338845
NUCKS1,1.1869405421439411e-24,0.8535802796300036
NUP188,2.8591230389457487e-24,0.8501003715828402
NUP214,1.3101995018994943e-29,0.8916507120366092
NUP35,2.6226299899876027e-27,0.8754953466585889
OTUD4,1.3649655971598814e-22,0.8336885224025737
PAK4,7.525198000542926e-22,0.8258202641588953
PARN,3.132084655800743e-24,0.8497343135856698
PATL1,9.546187418169877e-23,0.8352864170431292
PAWR,1.3154145982056063e-23,0.8438430010837112
PDAP1,4.0997252304686705e-20,0.8057238551694129
PDS5A,1.975754426019995e-23,0.8421273610233306
PDS5B,3.936991330907974e-29,0.8884900641403379
PEX1,6.286313953847599e-25,0.8560414179508103
PFKFB3,2.527122228661485e-22,0.8308957764832311
PHF14,9.634847551775253e-23,0.8352453188357999
PHF23,9.096451465409384e-23,0.8355007688091004
PHF3,5.547519322215155e-21,0.8160843737249187
PHKB,3.275861674683482e-20,0.8069178860331347
PHRF1,1.0778597421051986e-20,0.8127141000656068
PI4K2A,1.140451621892369e-26,0.8705714298455803
PIK3C2A,2.401137395083933e-22,0.8311295996765685
PLXDC2,7.946944334584905e-22,0.8255622329036023
PNN,5.247142669968833e-23,0.8379230963373824
POLR1D,4.328510155687914e-24,0.8484276396373048
POLR2A,4.130089585128922e-24,0.8486179266563183
POP1,1.0795186777101808e-20,0.8127062168217112
PPFIA1,3.4243840068023507e-26,0.8667514354210528
PPIG,1.5674037899170513e-25,0.8612650279225216
PPP1R10,9.883650861199092e-24,0.845036362556583
PPP1R13B,8.93534090437132e-22,0.8250060937046412
PPP1R3D,4.619629325282968e-22,0.828110425225379
PRKAR1B,6.31802665557731e-20,0.8033984478229197
PSMB10,1.0672333582335306e-20,0.8127648772336364
PSMD1,1.1148710937996311e-22,0.8345950368109999
PSMD2,6.476730915232405e-23,0.8370008658934367
PSMF1,9.061332549111702e-21,0.8136013042819916
PTK2,9.611475764666275e-20,0.801112583597893
PXN,7.692265777739284e-21,0.8144343783952949
RAB12,7.891201570945324e-25,0.8551661788097993
RAD23B,7.49927677315415e-20,0.8024681994469465
RAD54L2,4.365300646451172e-28,0.8812320194311
RALY,1.2128756390991747e-22,0.8342183171388665
RANBP10,1.3011158096024024e-26,0.8701198021406372
RANBP2,1.9399803528130352e-20,0.8096743554355983
RANBP3,6.131147603557181e-20,0.8035608955648681
RASAL2,1.425839582958362e-22,0.8334923783832422
RASAL3,7.441239031770939e-20,0.8025104730089739
RBM15,9.011618913952748e-21,0.8136293518797072
